{0: {'object': 'couch', '0': 160, '1': 139, '2': 1150, '3': 710}}
{73: {'object': 'couch', '0': 160, '1': 141, '2': 1151, '3': 710}}
{74: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{75: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{76: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{77: {'object': 'couch', '0': 159, '1': 143, '2': 1151, '3': 711}}
{78: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{79: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{80: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{81: {'object': 'couch', '0': 159, '1': 143, '2': 1151, '3': 711}}
{82: {'object': 'couch', '0': 159, '1': 143, '2': 1151, '3': 711}}
{83: {'object': 'couch', '0': 160, '1': 143, '2': 1151, '3': 711}}
{84: {'object': 'couch', '0': 160, '1': 143, '2': 1151, '3': 711}}
{85: {'object': 'couch', '0': 160, '1': 143, '2': 1151, '3': 711}}
{86: {'object': 'couch', '0': 159, '1': 143, '2': 1151, '3': 711}}
{87: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{88: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{89: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{90: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{91: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{92: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{93: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{94: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{95: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{96: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{97: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{98: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{99: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{100: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{101: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{102: {'object': 'couch', '0': 160, '1': 142, '2': 1151, '3': 710}}
{103: {'object': 'couch', '0': 160, '1': 143, '2': 1151, '3': 711}}
{104: {'object': 'couch', '0': 160, '1': 143, '2': 1151, '3': 711}}
{105: {'object': 'couch', '0': 160, '1': 143, '2': 1151, '3': 711}}
{106: {'object': 'couch', '0': 160, '1': 143, '2': 1151, '3': 711}}
{107: {'object': 'couch', '0': 160, '1': 143, '2': 1151, '3': 711}}
{108: {'object': 'couch', '0': 160, '1': 143, '2': 1151, '3': 711}}
{109: {'object': 'couch', '0': 160, '1': 143, '2': 1150, '3': 711}}
{110: {'object': 'couch', '0': 160, '1': 143, '2': 1150, '3': 711}}
{111: {'object': 'couch', '0': 160, '1': 143, '2': 1151, '3': 711}}
{112: {'object': 'couch', '0': 159, '1': 143, '2': 1151, '3': 711}}
{113: {'object': 'couch', '0': 160, '1': 143, '2': 1151, '3': 711}}
{114: {'object': 'couch', '0': 160, '1': 144, '2': 1151, '3': 711}}
{115: {'object': 'couch', '0': 159, '1': 144, '2': 1150, '3': 711}}
{116: {'object': 'couch', '0': 159, '1': 144, '2': 1151, '3': 711}}
{117: {'object': 'couch', '0': 160, '1': 144, '2': 1151, '3': 711}}
{118: {'object': 'couch', '0': 159, '1': 144, '2': 1151, '3': 711}}
{119: {'object': 'couch', '0': 158, '1': 144, '2': 1151, '3': 711}}
{120: {'object': 'couch', '0': 159, '1': 144, '2': 1150, '3': 711}}
{121: {'object': 'couch', '0': 160, '1': 144, '2': 1150, '3': 711}}
{122: {'object': 'couch', '0': 159, '1': 143, '2': 1150, '3': 711}}
{123: {'object': 'couch', '0': 158, '1': 143, '2': 1151, '3': 711}}
{124: {'object': 'couch', '0': 157, '1': 144, '2': 1150, '3': 711}}
{125: {'object': 'couch', '0': 157, '1': 144, '2': 1151, '3': 711}}
{126: {'object': 'couch', '0': 157, '1': 143, '2': 1151, '3': 711}}
{127: {'object': 'couch', '0': 153, '1': 141, '2': 1151, '3': 711}}
{128: {'object': 'couch', '0': 154, '1': 141, '2': 1151, '3': 711}}
{129: {'object': 'couch', '0': 152, '1': 141, '2': 1151, '3': 711}}
{130: {'object': 'couch', '0': 151, '1': 143, '2': 1152, '3': 711}}
{131: {'object': 'couch', '0': 154, '1': 143, '2': 1151, '3': 711}}
{132: {'object': 'couch', '0': 155, '1': 143, '2': 1151, '3': 711}}
{133: {'object': 'couch', '0': 155, '1': 143, '2': 1151, '3': 711}}
{134: {'object': 'couch', '0': 157, '1': 145, '2': 1151, '3': 711}}
{135: {'object': 'couch', '0': 159, '1': 147, '2': 1151, '3': 711}}
{136: {'object': 'couch', '0': 163, '1': 149, '2': 1151, '3': 711}}
{137: {'object': 'couch', '0': 160, '1': 153, '2': 1151, '3': 711}}
{138: {'object': 'couch', '0': 161, '1': 159, '2': 1150, '3': 711}}
{139: {'object': 'couch', '0': 164, '1': 163, '2': 1150, '3': 711}}
{140: {'object': 'couch', '0': 162, '1': 166, '2': 1150, '3': 711}}
{141: {'object': 'couch', '0': 164, '1': 168, '2': 1150, '3': 711}}
{142: {'object': 'couch', '0': 164, '1': 170, '2': 1150, '3': 711}}
{143: {'object': 'couch', '0': 159, '1': 174, '2': 1151, '3': 711}}
{144: {'object': 'couch', '0': 159, '1': 173, '2': 1151, '3': 711}}
{145: {'object': 'couch', '0': 162, '1': 172, '2': 1150, '3': 711}}
{146: {'object': 'couch', '0': 162, '1': 174, '2': 1150, '3': 711}}
{147: {'object': 'couch', '0': 158, '1': 176, '2': 1151, '3': 711}}
{148: {'object': 'couch', '0': 0, '1': 123, '2': 45, '3': 276}}
{148: {'object': 'couch', '0': 0, '1': 123, '2': 45, '3': 276}}
{149: {'object': 'couch', '0': 158, '1': 193, '2': 1151, '3': 711}}
{150: {'object': 'couch', '0': 159, '1': 191, '2': 1151, '3': 711}}
{151: {'object': 'couch', '0': 159, '1': 190, '2': 1151, '3': 711}}
{152: {'object': 'couch', '0': 159, '1': 190, '2': 1151, '3': 711}}
{153: {'object': 'couch', '0': 159, '1': 191, '2': 1151, '3': 711}}
{154: {'object': 'couch', '0': 159, '1': 192, '2': 1151, '3': 711}}
{155: {'object': 'couch', '0': 161, '1': 192, '2': 1150, '3': 711}}
{156: {'object': 'couch', '0': 161, '1': 192, '2': 1150, '3': 711}}
{157: {'object': 'couch', '0': 160, '1': 192, '2': 1150, '3': 711}}
{158: {'object': 'couch', '0': 160, '1': 192, '2': 1150, '3': 711}}
{159: {'object': 'couch', '0': 160, '1': 191, '2': 1150, '3': 711}}
{160: {'object': 'couch', '0': 160, '1': 191, '2': 1150, '3': 712}}
{161: {'object': 'couch', '0': 160, '1': 191, '2': 1150, '3': 712}}
{162: {'object': 'couch', '0': 160, '1': 191, '2': 1151, '3': 711}}
{163: {'object': 'couch', '0': 160, '1': 190, '2': 1150, '3': 711}}
{164: {'object': 'couch', '0': 159, '1': 189, '2': 1151, '3': 711}}
{165: {'object': 'couch', '0': 160, '1': 188, '2': 1150, '3': 711}}
{166: {'object': 'couch', '0': 158, '1': 192, '2': 1150, '3': 711}}
{167: {'object': 'couch', '0': 158, '1': 182, '2': 1150, '3': 711}}
{168: {'object': 'couch', '0': 158, '1': 173, '2': 1150, '3': 711}}
{169: {'object': 'couch', '0': 157, '1': 177, '2': 1150, '3': 711}}
{170: {'object': 'couch', '0': 157, '1': 171, '2': 1150, '3': 711}}
{171: {'object': 'couch', '0': 159, '1': 161, '2': 1151, '3': 711}}
{172: {'object': 'couch', '0': 159, '1': 159, '2': 1151, '3': 711}}
{173: {'object': 'couch', '0': 160, '1': 153, '2': 1151, '3': 711}}
{174: {'object': 'couch', '0': 160, '1': 155, '2': 1151, '3': 711}}
{175: {'object': 'couch', '0': 157, '1': 165, '2': 1150, '3': 711}}
{176: {'object': 'couch', '0': 179, '1': 143, '2': 445, '3': 429}}
{176: {'object': 'couch', '0': 179, '1': 143, '2': 445, '3': 429}}
{177: {'object': 'couch', '0': 159, '1': 152, '2': 1151, '3': 711}}
{178: {'object': 'couch', '0': 159, '1': 158, '2': 1151, '3': 711}}
{179: {'object': 'couch', '0': 162, '1': 147, '2': 1150, '3': 711}}
{180: {'object': 'couch', '0': 162, '1': 147, '2': 1150, '3': 711}}
{181: {'object': 'couch', '0': 163, '1': 146, '2': 1150, '3': 711}}
{182: {'object': 'couch', '0': 161, '1': 150, '2': 1150, '3': 711}}
{183: {'object': 'couch', '0': 162, '1': 148, '2': 1150, '3': 711}}
{184: {'object': 'couch', '0': 163, '1': 147, '2': 1150, '3': 711}}
{185: {'object': 'couch', '0': 161, '1': 150, '2': 1150, '3': 711}}
{186: {'object': 'couch', '0': 161, '1': 149, '2': 1150, '3': 711}}
{187: {'object': 'couch', '0': 162, '1': 146, '2': 1150, '3': 711}}
{188: {'object': 'couch', '0': 162, '1': 147, '2': 1150, '3': 711}}
{189: {'object': 'couch', '0': 162, '1': 146, '2': 1150, '3': 711}}
{190: {'object': 'couch', '0': 161, '1': 147, '2': 1150, '3': 711}}
{191: {'object': 'couch', '0': 162, '1': 146, '2': 1150, '3': 711}}
{192: {'object': 'couch', '0': 163, '1': 145, '2': 1150, '3': 711}}
{193: {'object': 'couch', '0': 163, '1': 145, '2': 1150, '3': 711}}
{194: {'object': 'couch', '0': 164, '1': 145, '2': 1150, '3': 711}}
{195: {'object': 'couch', '0': 165, '1': 147, '2': 1150, '3': 711}}
{196: {'object': 'couch', '0': 165, '1': 147, '2': 1150, '3': 711}}
{197: {'object': 'couch', '0': 165, '1': 146, '2': 1151, '3': 711}}
{198: {'object': 'couch', '0': 162, '1': 146, '2': 1150, '3': 712}}
{199: {'object': 'couch', '0': 162, '1': 146, '2': 1150, '3': 712}}
{200: {'object': 'couch', '0': 162, '1': 146, '2': 1150, '3': 712}}
{201: {'object': 'couch', '0': 169, '1': 147, '2': 1151, '3': 710}}
{202: {'object': 'couch', '0': 169, '1': 146, '2': 1151, '3': 710}}
{203: {'object': 'couch', '0': 169, '1': 147, '2': 1151, '3': 710}}
{204: {'object': 'couch', '0': 169, '1': 147, '2': 1151, '3': 710}}
{205: {'object': 'couch', '0': 169, '1': 147, '2': 1151, '3': 710}}
{206: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{207: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{208: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{209: {'object': 'couch', '0': 169, '1': 147, '2': 1151, '3': 710}}
{210: {'object': 'couch', '0': 169, '1': 147, '2': 1151, '3': 710}}
{211: {'object': 'couch', '0': 169, '1': 147, '2': 1151, '3': 710}}
{212: {'object': 'couch', '0': 169, '1': 147, '2': 1151, '3': 710}}
{213: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{214: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{215: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{216: {'object': 'couch', '0': 169, '1': 147, '2': 1151, '3': 710}}
{217: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{218: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{219: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{220: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{221: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{222: {'object': 'couch', '0': 161, '1': 147, '2': 1150, '3': 711}}
{223: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{224: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{225: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{226: {'object': 'couch', '0': 167, '1': 147, '2': 1151, '3': 710}}
{227: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{228: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{229: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{230: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{231: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{232: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{233: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{234: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{235: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{236: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{237: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{238: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{239: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{240: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{241: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{242: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{243: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{244: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{245: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{246: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{247: {'object': 'couch', '0': 167, '1': 147, '2': 1151, '3': 710}}
{248: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{249: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{250: {'object': 'couch', '0': 167, '1': 149, '2': 1151, '3': 710}}
{251: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{252: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{253: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{254: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{255: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{256: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{257: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{258: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{259: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{260: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{261: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{262: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{263: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{264: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{265: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{266: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{267: {'object': 'couch', '0': 167, '1': 148, '2': 1151, '3': 710}}
{268: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{269: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{270: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{271: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{272: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{273: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{274: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{275: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{276: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{277: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{278: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{279: {'object': 'couch', '0': 160, '1': 148, '2': 1150, '3': 711}}
{280: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{281: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{282: {'object': 'couch', '0': 169, '1': 148, '2': 1151, '3': 710}}
{283: {'object': 'couch', '0': 169, '1': 148, '2': 1151, '3': 710}}
{284: {'object': 'couch', '0': 169, '1': 148, '2': 1151, '3': 710}}
{285: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{286: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{287: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{288: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{289: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{290: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{291: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{292: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{293: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{294: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{295: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{296: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{297: {'object': 'couch', '0': 169, '1': 148, '2': 1151, '3': 710}}
{298: {'object': 'couch', '0': 169, '1': 148, '2': 1151, '3': 710}}
{299: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{300: {'object': 'couch', '0': 160, '1': 148, '2': 1150, '3': 711}}
{301: {'object': 'couch', '0': 160, '1': 148, '2': 1150, '3': 711}}
{302: {'object': 'couch', '0': 160, '1': 148, '2': 1150, '3': 711}}
{303: {'object': 'couch', '0': 160, '1': 148, '2': 1150, '3': 711}}
{304: {'object': 'couch', '0': 160, '1': 148, '2': 1150, '3': 711}}
{305: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{306: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{307: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 711}}
{308: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 711}}
{309: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 711}}
{310: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 711}}
{311: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 711}}
{312: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 711}}
{313: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 711}}
{314: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 711}}
{315: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{316: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{317: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 711}}
{318: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 711}}
{319: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 711}}
{320: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 711}}
{321: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 711}}
{322: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 711}}
{323: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{324: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 711}}
{325: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{326: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{327: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{328: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{329: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{330: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{331: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{332: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{333: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{334: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{335: {'object': 'couch', '0': 160, '1': 148, '2': 1150, '3': 711}}
{336: {'object': 'couch', '0': 160, '1': 148, '2': 1150, '3': 711}}
{337: {'object': 'couch', '0': 160, '1': 148, '2': 1150, '3': 711}}
{338: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{339: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{340: {'object': 'couch', '0': 160, '1': 147, '2': 1150, '3': 711}}
{341: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{342: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{343: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{344: {'object': 'couch', '0': 169, '1': 148, '2': 1151, '3': 710}}
{345: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{346: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{347: {'object': 'couch', '0': 168, '1': 147, '2': 1151, '3': 710}}
{348: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{349: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{350: {'object': 'couch', '0': 168, '1': 148, '2': 1151, '3': 710}}
{351: {'object': 'couch', '0': 169, '1': 147, '2': 1151, '3': 710}}
{352: {'object': 'couch', '0': 169, '1': 147, '2': 1151, '3': 710}}
{353: {'object': 'couch', '0': 169, '1': 148, '2': 1151, '3': 710}}
{354: {'object': 'couch', '0': 169, '1': 148, '2': 1151, '3': 710}}
{355: {'object': 'couch', '0': 169, '1': 148, '2': 1151, '3': 710}}
